KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,CLUSRAW,,5,12,15,88567,-3.46008e-05,0.00434786,NAME,h_phi_diff_cpRaw_12_15
phi,CLUSCP,,5,12,15,88567,6.9366e-05,0.00352105,NAME,h_phi_diff_cpCorr_12_15
phi,CLUSCP_EA_vzDep,,5,12,15,88567,6.129e-05,0.00349494,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_12_15
phi,CLUSCP_EA_etaDep,,5,12,15,88567,6.22762e-05,0.00349196,NAME,h_phi_diff_cpCorrEA_fitEtaDep_12_15
phi,CLUSCP_EA,,5,12,15,88567,6.11222e-05,0.00349492,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_12_15
phi,CLUSCP_EA_EandIncident,,5,12,15,88567,5.56652e-05,0.0034949,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_12_15
phi,CLUSCP_EA_vzEtaDep,,5,12,15,88567,6.10296e-05,0.00349249,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_12_15
phi,CLUScpDirectBvals,,5,12,15,88567,6.23063e-05,0.00360803,NAME,h_phi_diff_cpBcorr_12_15
eta,CLUSRAW,,5,12,15,88567,-1.06455e-06,0.00392166,NAME,h_eta_diff_cpRaw_12_15
eta,CLUSCP,,5,12,15,88567,-3.17591e-05,0.0032663,NAME,h_eta_diff_cpCorr_12_15
eta,CLUSCP_EA_vzDep,,5,12,15,88567,-2.3111e-05,0.00315796,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_12_15
eta,CLUSCP_EA_etaDep,,5,12,15,88567,-2.13533e-05,0.00314073,NAME,h_eta_diff_cpCorrEA_fitEtaDep_12_15
eta,CLUSCP_EA,,5,12,15,88567,-2.30245e-05,0.00315784,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_12_15
eta,CLUSCP_EA_EandIncident,,5,12,15,88567,7.33919e-06,0.00319374,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_12_15
eta,CLUSCP_EA_vzEtaDep,,5,12,15,88567,-2.18157e-05,0.00314786,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_12_15
eta,CLUScpDirectBvals,,5,12,15,88567,-2.19757e-05,0.00311908,NAME,h_eta_diff_cpBcorr_12_15
phi,PDCraw,,6,15,20,148209,3.1504e-05,0.00421914,XAXIS,h_phi_diff_raw_15_20
eta,PDCraw,,6,15,20,148209,-5.46987e-06,0.00380519,XAXIS,h_eta_diff_raw_15_20
phi,PDCcor,,6,15,20,148209,8.86041e-05,0.0033965,XAXIS,h_phi_diff_corr_15_20
eta,PDCcor,,6,15,20,148209,-3.04999e-06,0.00298203,XAXIS,h_eta_diff_corr_15_20
phi,CLUSRAW,,6,15,20,148209,4.10946e-05,0.00434018,NAME,h_phi_diff_cpRaw_15_20
phi,CLUSCP,,6,15,20,148209,0.000116726,0.0034284,NAME,h_phi_diff_cpCorr_15_20
phi,CLUSCP_EA_vzDep,,6,15,20,148209,0.000115082,0.0034173,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_15_20
phi,CLUSCP_EA_etaDep,,6,15,20,148209,0.000115407,0.00341417,NAME,h_phi_diff_cpCorrEA_fitEtaDep_15_20
phi,CLUSCP_EA,,6,15,20,148209,0.000114867,0.00341729,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_15_20
phi,CLUSCP_EA_EandIncident,,6,15,20,148209,0.000110072,0.00341962,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_15_20
phi,CLUSCP_EA_vzEtaDep,,6,15,20,148209,0.000115261,0.00341475,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_15_20
phi,CLUScpDirectBvals,,6,15,20,148209,0.000110816,0.00354055,NAME,h_phi_diff_cpBcorr_15_20
eta,CLUSRAW,,6,15,20,148209,-1.16423e-05,0.00387518,NAME,h_eta_diff_cpRaw_15_20
eta,CLUSCP,,6,15,20,148209,-1.83168e-05,0.00320206,NAME,h_eta_diff_cpCorr_15_20
eta,CLUSCP_EA_vzDep,,6,15,20,148209,-1.67241e-05,0.00309607,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_15_20
eta,CLUSCP_EA_etaDep,,6,15,20,148209,-1.554e-05,0.00307707,NAME,h_eta_diff_cpCorrEA_fitEtaDep_15_20
eta,CLUSCP_EA,,6,15,20,148209,-1.66266e-05,0.00309604,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_15_20
eta,CLUSCP_EA_EandIncident,,6,15,20,148209,6.46525e-06,0.00313046,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_15_20
eta,CLUSCP_EA_vzEtaDep,,6,15,20,148209,-1.5865e-05,0.00308615,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_15_20
eta,CLUScpDirectBvals,,6,15,20,148209,-1.57912e-05,0.00305903,NAME,h_eta_diff_cpBcorr_15_20
phi,PDCraw,,7,20,30,299903,-3.8875e-05,0.00392247,XAXIS,h_phi_diff_raw_20_30
eta,PDCraw,,7,20,30,299903,-2.07827e-05,0.00367328,XAXIS,h_eta_diff_raw_20_30
phi,PDCcor,,7,20,30,299903,-3.37501e-07,0.00291829,XAXIS,h_phi_diff_corr_20_30
eta,PDCcor,,7,20,30,299903,-1.26253e-05,0.00279622,XAXIS,h_eta_diff_corr_20_30
phi,CLUSRAW,,7,20,30,299903,-3.92839e-05,0.00402386,NAME,h_phi_diff_cpRaw_20_30
phi,CLUSCP,,7,20,30,299903,2.17624e-05,0.00294498,NAME,h_phi_diff_cpCorr_20_30
phi,CLUSCP_EA_vzDep,,7,20,30,299903,1.41875e-05,0.00292865,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_20_30
