KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
eta,CLUSRAW,0_60vz,2,6,8,125076,5.23796e-05,0.00956527,NAME,h_eta_diff_cpRaw_6_8_0_60vz
eta,CLUSCP,0_60vz,2,6,8,125076,7.99032e-05,0.0091246,NAME,h_eta_diff_cpCorr_6_8_0_60vz
eta,CLUSCP_EA_vzDep,0_60vz,2,6,8,125076,6.36824e-05,0.00917479,NAME,h_eta_diff_cpCorrEA_geom_6_8_0_60vz
eta,CLUSCP_EA_etaDep,0_60vz,2,6,8,125076,7.15591e-05,0.00913542,NAME,h_eta_diff_cpCorrEA_fitEtaDep_6_8_0_60vz
eta,CLUSCP_EA,0_60vz,2,6,8,125076,7.2226e-05,0.00912823,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_6_8_0_60vz
eta,CLUSCP_EA_mixed,0_60vz,2,6,8,125076,7.1476e-05,0.00913683,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_6_8_0_60vz
eta,CLUScpDirectBvals,0_60vz,2,6,8,125076,7.36485e-05,0.00911924,NAME,h_eta_diff_cpBcorr_6_8_0_60vz
phi,PDCraw,,3,8,10,101053,0.000274163,0.00567331,XAXIS,h_phi_diff_raw_8_10
eta,PDCraw,,3,8,10,101053,9.23206e-06,0.00750049,XAXIS,h_eta_diff_raw_8_10
phi,PDCcor,,3,8,10,101053,0.000305917,0.00531241,XAXIS,h_phi_diff_corr_8_10
eta,PDCcor,,3,8,10,101053,9.9288e-06,0.00708243,XAXIS,h_eta_diff_corr_8_10
phi,CLUSRAW,,3,8,10,101053,0.00023083,0.00576367,NAME,h_phi_diff_cpRaw_8_10
phi,CLUSCP,,3,8,10,101053,0.000322776,0.00539944,NAME,h_phi_diff_cpCorr_8_10
phi,CLUSCP_EA_vzDep,,3,8,10,101053,0.000329675,0.00538965,NAME,h_phi_diff_cpCorrEA_geom_8_10
phi,CLUSCP_EA_etaDep,,3,8,10,101053,0.000327845,0.00538998,NAME,h_phi_diff_cpCorrEA_fitEtaDep_8_10
phi,CLUSCP_EA,,3,8,10,101053,0.000326177,0.00539131,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_8_10
phi,CLUSCP_EA_mixed,,3,8,10,101053,0.000325452,0.0053912,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_8_10
phi,CLUScpDirectBvals,,3,8,10,101053,0.00029411,0.00542509,NAME,h_phi_diff_cpBcorr_8_10
